interaction_id,viewport,route,state,kind,identity,label,selector_hint,status,result,reason,disabled,touch_target_pass
ui-desktop-dashboard-button-45a16201cadd,desktop,dashboard,default,button,data-yh-transfer-pmb=[REDACTED_STOCK_B]#1,Transfer Yard Hold vehicle to PMB,"{""data-yh-transfer-pmb"": ""[REDACTED_STOCK_B]""}",blocked,blocked,"mutation, outbound, privileged, or destructive action forbidden in diagnostic lane",False,True
ui-desktop-dashboard-button-fafe419f6374,desktop,dashboard,default,button,data-open-stock=[REDACTED_STOCK_B]#2,,"{""data-open-stock"": ""[REDACTED_STOCK_B]""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-dashboard-button-754ddc7795fb,desktop,dashboard,default,button,data-auth-operation-work=[REDACTED_STOCK_B]#1,,"{""data-auth-operation-work"": ""[REDACTED_STOCK_B]""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,False
ui-desktop-dashboard-summary-d3e678ca42ed,desktop,dashboard,default,summary,"IT
0#1","IT
0",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-summary-1d7c4a70b732,desktop,dashboard,default,summary,"OTHER
0#1","OTHER
0",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-dashboard-keyboard-4f2828acbf16,desktop,dashboard,default,keyboard,tab-focus,Tab focus progression,keyboard:Tab,tested,pass,"{""id"": """", ""label"": ""Show STOPPAGES"", ""tag"": ""SUMMARY""}",False,True
ui-desktop-qc-route-ad5c1bc82fc4,desktop,qc,default,route,qc,Navigate to qc,showView,tested,pass,requested=qc active=qc,False,True
ui-desktop-qc-button-60e4e3d31b22,desktop,qc,default,button,data-view-target=dashboard#1,Vehicle Locations,"{""data-view-target"": ""dashboard""}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-qc-button-e28ea6426ec2,desktop,qc,default,button,data-pdc-refresh-route=qc#1,Refresh,"{""data-pdc-operational-refresh"": """", ""data-pdc-refresh-route"": ""qc""}",tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-qc-button-4ae579ef5a05,desktop,qc,default,button,data-qc-open-vehicle=[REDACTED_STOCK_A]#1,"[REDACTED_STOCK_A]
Work incomplete
Hilux DC
[REDACTED_CUSTOMER_A]
No key
SP","{""data-qc-open-vehicle"": ""[REDACTED_STOCK_A]"", ""data-qc-vehicle-key"": ""[REDACTED_STOCK_A]""}",blocked,blocked,"mutation, outbound, privileged, or destructive action forbidden in diagnostic lane",False,True
ui-desktop-qc-input-bfeb15e8c51a,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_418cd3a677]#1,OP5 50A ANDERSON PLUG TO REAR not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_418cd3a677]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-5521391ae0c7,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_8a9eee47bc]#1,OP6 Lightforce Beast 230 spotties not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_8a9eee47bc]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-df04e1766090,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_8256456f46]#1,OP10 Rear Wheel Mount Suitable For Modules With 150mm Rear Step ( Each ) not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_8256456f46]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-5e1633629b43,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_2ae749d8fc]#1,OP11 PMBM2 - Trade Module with 2 Doors & 150mm Rear Step for Spare Wheels not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_2ae749d8fc]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-611332479b6e,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_acc222bb82]#1,OP1 Pre-Delivery (Commercial) not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_acc222bb82]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-65711c905418,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_3e7f24298c]#1,OP2 Front Seat Covers - Full Fabric - Black/Charcoal not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_3e7f24298c]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-b7e2ab7b70e2,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_cea4f56793]#1,OP3 Rear Seat Covers - Full Fabric - Black/Charcoal not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_cea4f56793]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-5663c8e08c46,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_7652997bec]#1,OP4 Tow Bar Tongue Kit (Short) with Small Round Plug (Aug 2016+ Prod) not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_7652997bec]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-c305df365d60,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_a66bbb3d96]#1,OP13 Supply and Fit ARB Summit Bar MK2 Hilus MY265 not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_a66bbb3d96]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-37910a78b7b8,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_74e037e394]#1,OP7 Supply and fit long range tank to 48v hilux not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_74e037e394]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-89d89fbf60b0,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_b51226a74e]#1,OP8 OME 3550Kg Nitro+ GVM Basic Includes Wheel Alignment not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_b51226a74e]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-632db0a62567,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_4943d6b071]#1,OP14 Darkest Legal Window Tint not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_4943d6b071]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-35acf20a6394,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_44e52b024d]#1,OP12 Hilux Additional Spare7.5x17 Steel Rim 265/65R17 Aftermarket Tyre not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_44e52b024d]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-597a7402b126,desktop,qc,default,input,data-qc-line-identity=source:[REDACTED_UUID_da0371c12d]#1,OP15 TYRE x6 Upgrade to Toyo M55F 265/65R17 not completed,"{""data-qc-line-identity"": ""source:[REDACTED_UUID_da0371c12d]"", ""data-qc-line-version"": ""0"", ""data-qc-operation-check"": ""[REDACTED_STOCK_A]""}",blocked,blocked,state-changing or file control (checkbox),False,False
ui-desktop-qc-input-3918e5360c03,desktop,qc,default,input,qc-photo-input-[REDACTED_STOCK_A]#1,qc-photo-input-[REDACTED_STOCK_A],#qc-photo-input-[REDACTED_STOCK_A],blocked,blocked,state-changing or file control (file),False,False
ui-desktop-qc-button-49ccd15edd16,desktop,qc,default,button,data-qc-reject=[REDACTED_STOCK_A]#1,Reject / QC Fix Required,"{""data-qc-reject"": ""[REDACTED_STOCK_A]""}",blocked,blocked,"mutation, outbound, privileged, or destructive action forbidden in diagnostic lane",False,True
ui-desktop-qc-keyboard-99abce92d0c7,desktop,qc,default,keyboard,tab-focus,Tab focus progression,keyboard:Tab,tested,pass,"{""id"": """", ""label"": ""Refresh Vehicle Locations"", ""tag"": ""BUTTON""}",False,True
ui-desktop-workflow-route-c9f73eec3692,desktop,workflow,default,route,workflow,Navigate to workflow,showView,tested,pass,requested=workflow active=workflow,False,True
ui-desktop-workflow-button-7c741478f14e,desktop,workflow,default,button,workflow-collapse-all#1,Collapse all rows,#workflow-collapse-all,tested,pass,safe display/navigation action activated,False,True
ui-desktop-workflow-button-0a6bb386e953,desktop,workflow,default,button,data-pdc-refresh-route=workflow#1,Refresh,"{""data-pdc-operational-refresh"": """", ""data-pdc-refresh-route"": ""workflow""}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-workflow-input-ad6bc09030f3,desktop,workflow,default,input,workflow-search#1,workflow-search,#workflow-search,tested,pass,typed and restored without business mutation,False,True
ui-desktop-workflow-button-26fe8573dc1e,desktop,workflow,default,button,workflow-find#1,Find,#workflow-find,tested,pass,safe display/navigation action activated,False,True
ui-desktop-workflow-button-404053b24c9d,desktop,workflow,default,button,workflow-clear-search#1,Clear,#workflow-clear-search,tested,pass,safe display/navigation action activated,False,True
ui-desktop-workflow-summary-5d8b2c9870db,desktop,workflow,default,summary,"Bus 4x4
0
No current or month-to-date activity
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
0
Open Bus 4x4 Planner#1","Bus 4x4
0
No current or month-to-date activity
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
0
Open Bus 4x4 Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-62b5b24765e6,desktop,workflow,default,button,data-open-workshop-stage=BUS_4X4#1,Open Bus 4x4 Planner,"{""data-open-workshop-stage"": ""BUS_4X4""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-summary-e1d101679396,desktop,workflow,default,summary,"Tint
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Tint Planner#1","Tint
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Tint Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-8f78e59ad433,desktop,workflow,default,button,data-open-workshop-stage=TINT#1,Open Tint Planner,"{""data-open-workshop-stage"": ""TINT""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-summary-d2c6cd5ddaa2,desktop,workflow,default,summary,"Hoist
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Hoist Planner#1","Hoist
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Hoist Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-298fccd1061f,desktop,workflow,default,button,data-open-workshop-stage=HOIST#1,Open Hoist Planner,"{""data-open-workshop-stage"": ""HOIST""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-summary-14dad68a2c73,desktop,workflow,default,summary,"Fitting
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Fitting Planner#1","Fitting
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Fitting Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-873b80135306,desktop,workflow,default,button,data-open-workshop-stage=FITTING#1,Open Fitting Planner,"{""data-open-workshop-stage"": ""FITTING""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-summary-2f83c951dfe2,desktop,workflow,default,summary,"Fab
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Fab Planner#1","Fab
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Fab Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-ad85320c6d43,desktop,workflow,default,button,data-open-workshop-stage=FABRICATION#1,Open Fab Planner,"{""data-open-workshop-stage"": ""FABRICATION""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-summary-ff9d8a4c2226,desktop,workflow,default,summary,"Elec
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Elec Planner#1","Elec
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Elec Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-a7df19f25179,desktop,workflow,default,button,data-open-workshop-stage=ELECTRICAL#1,Open Elec Planner,"{""data-open-workshop-stage"": ""ELECTRICAL""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-summary-86654ef95131,desktop,workflow,default,summary,"Tyre
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Tyre Planner#1","Tyre
0
1
IT
0
PMB wait
0
Bays
0
avg —
Stop
0
Done MTD
1
Open Tyre Planner",{},tested,blocked,control became unavailable before safe exercise,False,True
ui-desktop-workflow-button-0e3269197a67,desktop,workflow,default,button,data-open-workshop-stage=TYRE#1,Open Tyre Planner,"{""data-open-workshop-stage"": ""TYRE""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-workflow-keyboard-8ad39b704953,desktop,workflow,default,keyboard,tab-focus,Tab focus progression,keyboard:Tab,tested,pass,"{""id"": ""workflow-search"", ""label"": """", ""tag"": ""INPUT""}",False,True
ui-desktop-planner-bus-4x4-route-9d1b990b1d53,desktop,planner-bus-4x4,default,route,planner-bus-4x4,Navigate to planner-bus-4x4,showView,tested,pass,requested=planner-bus-4x4 active=workshop,False,True
ui-desktop-planner-bus-4x4-input-b4e45180a695,desktop,planner-bus-4x4,default,input,Workshop planner date#1,Workshop planner date,"{""data-workshop-date"": """"}",blocked,blocked,state-changing or file control (date),False,True
ui-desktop-planner-bus-4x4-button-8dcf77b4bcb3,desktop,planner-bus-4x4,default,button,data-workshop-date-shift=-1#1,‹ Previous,"{""data-workshop-date-shift"": ""-1""}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-planner-bus-4x4-button-e859abb98062,desktop,planner-bus-4x4,default,button,data-workshop-date-shift=1#1,Next ›,"{""data-workshop-date-shift"": ""1""}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-planner-bus-4x4-button-df31597674a8,desktop,planner-bus-4x4,default,button,Today#1,Today,"{""data-workshop-today"": """"}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-planner-bus-4x4-button-e81737be7594,desktop,planner-bus-4x4,default,button,Weekly view#1,Weekly view,"{""data-workshop-weekly-view"": """"}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-planner-bus-4x4-button-912cee2435be,desktop,planner-bus-4x4,default,button,data-pdc-refresh-route=workshop#1,Refresh Vehicle,"{""data-pdc-operational-refresh"": """", ""data-pdc-refresh-route"": ""workshop"", ""data-workshop-refresh-vehicle"": """"}",tested,pass,safe display/navigation action activated,False,True
ui-desktop-planner-bus-4x4-button-5d5589394b1e,desktop,planner-bus-4x4,default,button,+ Admin block#1,+ Admin block,"{""data-workshop-add-admin-block"": """"}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-planner-bus-4x4-button-29ad2acc5faa,desktop,planner-bus-4x4,default,button,data-admin-palette-duration=30#1,Admin · 0.5 h,"{""data-admin-palette-duration"": ""30"", ""data-workshop-admin-palette-tile"": """"}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,True
ui-desktop-planner-bus-4x4-select-bfc5c397addc,desktop,planner-bus-4x4,default,select,Admin block duration unit#1,Admin block duration unit,"{""data-workshop-admin-palette-unit"": """"}",tested,pass,changed selector and restored original value,False,True
ui-desktop-planner-bus-4x4-input-8394fb1477ab,desktop,planner-bus-4x4,default,input,Admin block duration#1,Admin block duration,"{""data-workshop-admin-palette-duration"": """"}",blocked,blocked,state-changing or file control (number),False,False
ui-desktop-planner-bus-4x4-button-53473e2903fc,desktop,planner-bus-4x4,default,button,Draft next-day parts warning#1,Draft next-day parts warning,"{""data-workshop-parts-warning"": """"}",blocked,blocked,"mutation, outbound, privileged, or destructive action forbidden in diagnostic lane",False,True
ui-desktop-planner-bus-4x4-input-45dcec4fb76f,desktop,planner-bus-4x4,default,input,dom-11#1,,"{""data-workshop-search"": """"}",tested,pass,typed and restored without business mutation,False,True
ui-desktop-planner-bus-4x4-button-79654ab8cb08,desktop,planner-bus-4x4,default,button,Clear#1,Clear,"{""data-workshop-search-clear"": """"}",blocked,blocked,disabled in observed state,True,True
ui-desktop-planner-bus-4x4-button-1204585aad3a,desktop,planner-bus-4x4,default,button,data-workshop-best-slot-bay=1#1,Best slot,"{""data-workshop-best-slot-bay"": ""1"", ""data-workshop-best-slot-date"": ""2026-09-05"", ""data-workshop-best-slot-hours"": ""43.5"", ""data-workshop-best-slot-stage"": ""BUS_4X4"", ""data-workshop-best-slot-start"": ""0"", ""data-workshop-best-slot-vehicle"": ""[REDACTED_STOCK_B]""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,False
ui-desktop-planner-bus-4x4-button-f1369847e0b9,desktop,planner-bus-4x4,default,button,data-workshop-schedule-vehicle=[REDACTED_STOCK_B]#1,Schedule,"{""data-workshop-schedule-vehicle"": ""[REDACTED_STOCK_B]""}",blocked,blocked,state-dependent button not safely activatable without business mutation risk,False,False
ui-desktop-planner-bus-4x4-button-e23c73edc1a3,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=1#1,Week,"{""data-workshop-weekly-bay"": ""1"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-9fffdd2c1686,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=1#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""1"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-ae1ed0e9801f,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=2#1,Week,"{""data-workshop-weekly-bay"": ""2"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-129fe85835fc,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=2#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""2"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-1f5bc69b7dd3,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=3#1,Week,"{""data-workshop-weekly-bay"": ""3"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-00e2aebdd96c,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=3#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""3"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-42a9d6ae9b75,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=4#1,Week,"{""data-workshop-weekly-bay"": ""4"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-c8c949f9685c,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=4#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""4"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-cf61b0e7aba1,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=5#1,Week,"{""data-workshop-weekly-bay"": ""5"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-a814f68c35a6,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=5#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""5"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-9398fd89135b,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=6#1,Week,"{""data-workshop-weekly-bay"": ""6"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-1712056861ae,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=6#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""6"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-e2fe52202f67,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=7#1,Week,"{""data-workshop-weekly-bay"": ""7"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
ui-desktop-planner-bus-4x4-select-2df88a81930d,desktop,planner-bus-4x4,default,select,data-workshop-bay-mechanic-number=7#1,"Unassigned
Craig Watson
Josh Howard
Stage2A Test Audit 7685397f
Synthetic Tech Alpha
Synthetic Tech Beta","{""data-workshop-bay-mechanic-number"": ""7"", ""data-workshop-bay-mechanic-stage"": ""BUS_4X4""}",blocked,blocked,Immediate-persistence technician selector: not eligible for diagnostic-lane mutation. Exploratory changes were rolled back; see cleanup-readback.json.,False,False
ui-desktop-planner-bus-4x4-button-65f4193d5c68,desktop,planner-bus-4x4,default,button,data-workshop-weekly-bay=8#1,Week,"{""data-workshop-weekly-bay"": ""8"", ""data-workshop-weekly-stage"": ""BUS_4X4""}",tested,pass,safe display/navigation action activated,False,False
